Species,Sex,SVL,headl,headW,headh,lower jawl,tip-quadr,tip-coron,opening,closing,SVL_w,headl_w,headW_w,headh_w,lower jawl_w,tip-quadr_w,tip-coron_w,opening_w,closing_w,DM_muscle_mass,LAO_muscle_mass,AMESA_muscle_mass,AMESP_muscle_mass,AMEM_muscle_mass,AMEP_muscle_mass,AMP_muscle_mass,PSTS_muscle_mass,PSTP_muscle_mass,PTL_muscle_mass,PTM_muscle_mass,LPT_muscle_mass,PPT_muscle_mass,CM_muscle_mass,DM_fiber_length,LAO_fiber_length,AMESA_fiber_length,AMESP_fiber_length,AMEM_fiber_length,AMEP_fiber_length,AMP_fiber_length,PSTS_fiber_length,PSTP_fiber_length,PTL_fiber_length,PTM_fiber_length,LPT_fiber_length,PPT_fiber_length,DM_physiological_cross_sectional_area,LAO_physiological_cross_sectional_area,AMESA_physiological_cross_sectional_area,AMESP_physiological_cross_sectional_area,AMEM_physiological_cross_sectional_area,AMEP_physiological_cross_sectional_area,AMP_physiological_cross_sectional_area,PSTS_physiological_cross_sectional_area,PSTP_physiological_cross_sectional_area,PTL_physiological_cross_sectional_area,PTM_physiological_cross_sectional_area,LPT_physiological_cross_sectional_area,PPT_physiological_cross_sectional_area,CM_physiological_cross_sectional_area
A. valencienni,female,63.00,19.61,9.47,7.42,19.98,18.59,15.91,1.39,2.68,61.18,17.04,8.11,6.45,17.05,15.84,13.22,1.22,2.62,2.10,0.20,5.50,1.70,4.60,0.60,0.50,2.00,0.50,2.90,1.90,0.40,0.70,,0.377,0.195,0.176,0.200,0.176,0.178,0.157,0.169,0.174,0.165,0.096,0.115,0.277,0.59,0.11,3.31,0.9,2.77,0.36,0.34,1.26,0.31,1.87,2.1,0.37,0.27,
A. frenatus,male,120.83,29.42,18.01,15.69,32.16,29.48,22.46,2.68,7.02,114.62,28.84,16.36,13.36,29.72,27.43,22.78,2.3,4.65,41.85,1.60,57.70,30.70,41.10,12.00,6.55,16.30,14.35,25.30,9.70,0.85,6.80,26.10,0.421,0.435,0.468,0.469,0.426,0.403,0.267,0.391,0.411,0.315,0.208,0.226,0.325,12.19,0.39,13.09,7.07,10.23,3.16,2.57,4.63,3.71,8.48,5,0.4,2.23,1.56
A. chloris,male,13.89,15.34,7.77,7.35,15.71,14.45,11.83,1.26,2.62,59.41,16.42,8.65,6.82,16.54,15.36,12.94,1.18,2.42,1.70,0.20,4.80,1.10,3.30,0.50,0.60,2.00,1.00,2.40,1.40,0.20,0.40,0.40,0.404,0.204,0.248,0.217,0.281,0.262,0.170,0.261,0.194,0.218,0.132,0.109,0.144,0.45,0.1,2.05,0.54,1.24,0.2,0.37,0.81,0.55,1.17,1.12,0.19,0.29,0.09
A. auratus,male,49.17,12.47,6.16,6.21,14.71,12.34,10.18,2.37,2.16,43.52,11.79,5.93,4.82,11.63,10.67,8.85,0.96,1.82,1.70,0.10,3.60,0.50,2.30,0.40,0.40,0.40,0.60,1.50,0.70,0.10,0.30,,0.372,0.133,0.254,0.158,0.207,0.177,0.121,0.184,0.181,0.158,0.102,0.093,0.116,0.48,0.08,1.5,0.34,1.18,0.24,0.35,0.23,0.35,1,0.72,0.11,0.27,
A. humilis,male,35.12,10.38,6.75,6.31,10.77,9.88,6.48,0.89,3.40,32.73,9.99,5.54,4.27,9.83,9.1,7.72,0.72,1.39,0.80,0.00,2.40,0.30,1.70,0.20,0.30,0.30,0.60,0.30,0.60,0.20,0.30,,0.003,,0.011,0.002,0.009,0.001,0.003,0.002,0.003,0.002,0.006,0.002,0.003,0.33,0,1.11,0.15,0.87,0.11,0.28,0.16,0.33,0.24,0.56,0.19,0.29,
A. heterodermus,male,60.51,18.36,10.10,8.90,18.38,17.36,13.91,1.02,3.45,71.34,20.97,10.56,9.3,20.4,18.94,15.36,1.46,3.58,2.60,0.15,9.45,1.65,10.30,2.15,0.85,3.35,1.55,3.45,3.30,0.10,0.45,1.20,0.401,0.170,0.263,0.206,0.295,0.273,0.175,0.277,0.230,0.156,0.174,0.106,0.147,0.73,0.09,3.89,0.85,3.66,0.84,0.52,1.28,0.72,2.34,2,0.1,0.32,0.29
A. limifrons,male,31.91,10.39,5.63,5.09,11.39,10.65,7.57,0.74,3.09,37.6,10.63,5.4,4.23,10.27,9.61,8.15,0.66,1.45,0.30,0.10,1.85,0.30,1.40,0.10,0.30,0.20,0.40,0.30,0.15,0.10,0.10,0.10,0.254,0.110,0.172,0.133,0.179,0.205,0.105,0.156,0.111,0.101,0.091,0.095,0.091,0.13,0.1,1.15,0.24,0.84,0.05,0.27,0.14,0.4,0.32,0.17,0.11,0.12,0.05
A. equestris,male,154.30,47.27,28.50,22.50,49.44,44.36,39.15,5.08,5.20,157.35,49.3,28.89,20.94,49.75,46.47,38.62,3.29,7.85,64.33,6.10,143.97,60.70,172.43,33.23,21.50,13.63,43.83,103.57,74.57,2.50,8.47,,0.988,0.432,0.609,0.501,0.500,0.422,0.327,0.529,0.485,0.396,0.337,0.289,0.388,6.88,1.52,24.86,12.69,35.98,8.52,7.23,2.7,9.6,26.65,24.73,1.01,2.23,
A. carolinesis,male,63.18,19.90,10.56,8.70,22.21,19.75,17.02,2.46,2.73,63.75,19.11,10.18,7.17,20.3,18.56,15.17,1.74,3.39,7.63,0.80,18.97,4.00,11.47,2.00,2.30,3.93,3.70,11.93,6.93,0.33,0.83,,0.444,0.249,0.403,0.337,0.329,0.268,0.181,0.341,0.316,0.260,0.251,0.127,0.194,1.81,0.35,4.97,1.26,3.69,0.77,1.46,1.22,1.29,4.89,2.89,0.28,0.44,
A. cristatellus,male,64.11,18.39,11.52,9.74,20.57,18.00,15.66,2.57,2.34,68.57,19.82,12.01,9.19,20.22,18.85,15.25,1.37,3.59,12.65,1.00,25.40,8.30,15.80,3.65,1.95,3.70,3.70,13.55,7.80,0.90,1.40,,0.606,0.304,0.450,0.413,0.389,0.333,0.303,0.325,0.345,0.330,0.189,0.368,0.232,2.2,0.35,6.1,2.13,4.29,1.16,0.68,1.23,1.15,4.35,4.37,0.4,0.63,
A. gundlachi,male,61.55,20.55,11.77,10.46,20.62,19.11,16.64,1.51,2.47,63.25,19.8,10.44,8.6,19.92,18.34,15.39,1.59,2.94,6.30,0.20,26.10,7.60,24.90,2.30,1.70,3.30,4.80,18.00,6.40,0.50,1.30,,0.529,0.230,0.271,0.391,0.347,0.230,0.188,0.307,0.290,0.332,0.174,0.163,0.241,1.26,0.09,10.2,2.06,7.6,1.06,0.96,1.14,1.76,5.75,3.89,0.33,0.57,
A. pulchellus,male,42.93,14.03,6.55,6.19,15.44,13.78,11.90,1.66,1.88,42.13,13.43,6.3,5.36,13.68,12.56,10.69,1.12,1.87,2.20,0.10,4.80,1.70,5.00,0.60,0.40,1.80,0.30,2.40,2.10,0.20,0.10,,0.328,0.180,0.208,0.183,0.211,0.203,0.170,0.156,0.138,0.139,0.111,0.089,0.148,0.71,0.06,2.44,0.99,2.52,0.31,0.25,1.23,0.23,1.83,2.01,0.24,0.07,
A. distichus,male,50.81,13.22,8.88,7.12,14.70,12.96,10.60,1.74,2.36,46.81,13.27,8.59,6.1,13.44,12.44,10.6,1,1.84,2.35,0.25,6.95,2.20,3.35,0.90,0.55,1.35,0.90,3.60,1.35,0.15,0.40,,0.380,0.232,0.275,0.243,0.291,0.241,0.174,0.248,0.214,0.173,0.167,0.117,0.148,0.01,0,0.03,0.01,0.01,0,0,0.01,0,0.02,0.01,0,0,
A. valencienni,male,70.94,21.61,10.87,8.69,22.59,20.83,16.88,1.77,3.95,67.47,19.89,9.59,7.97,19.96,18.62,15.37,1.34,3.26,5.50,0.50,16.10,4.95,14.90,2.05,2.15,3.65,2.45,9.40,4.15,0.35,1.00,,0.437,0.260,0.365,0.287,0.278,0.276,0.196,0.244,0.249,0.251,0.177,0.093,0.208,0.01,0,0.05,0.02,0.06,0.01,0.01,0.02,0.01,0.04,0.02,0,0.01,
